pmid,title,abstract
38887981,Single-cell combined with transcriptome sequencing to explore the molecular mechanism of cell communication in idiopathic pulmonary fibrosis.,"Idiopathic pulmonary fibrosis (IPF) is a common, chronic, and progressive lung disease that severely impacts human health and survival. However, the intricate molecular underpinnings of IPF remains elusive. This study aims to delve into the nuanced molecular interplay of cellular interactions in IPF, thereby laying the groundwork for innovative therapeutic approaches in the clinical field of IPF. Sophisticated bioinformatics methods were employed to identify crucial biomarkers essential for the progression of IPF. The GSE122960 single-cell dataset was obtained from the Gene Expression Omnibus (GEO) compendium, and intercellular communication potentialities were scrutinized via CellChat. The random survival forest paradigm was established using the GSE70866 dataset. Quintessential genes were selected through Kaplan-Meier (KM) curves, while immune infiltration examinations, functional enrichment critiques and nomogram paradigms were inaugurated. Analysis of intercellular communication revealed an intimate potential connections between macrophages and various cell types, pinpointing five cardinal genes influencing the trajectory and prognosis of IPF. The nomogram paradigm, sculpted from these seminal genes, exhibits superior predictive prowess. Our research meticulously identified five critical genes, confirming their intimate association with the prognosis, immune infiltration and transcriptional governance of IPF. Interestingly, we discerned these genes' engagement with the EPITHELIAL_MESENCHYMAL_TRANSITION signalling pathway, which may enhance our understanding of the molecular complexity of IPF."
38887135,Unveiling the mechanisms of Moso bamboo's motor function and internal growth stress.,"Bamboo, a renewable resource with rapid growth and an impressive height-to-diameter ratio, faces mechanical instability due to its slender structure. Despite this, bamboo maintains its posture without breaking in its battle against environmental and gravitational forces. But what drives this motor function in bamboo? This study subjected Moso bamboo (Phyllostachys edulis) to gravitational stimulation, compelling it to grow at a 45° angle instead of upright. Remarkably, the artificially inclined bamboo exhibited astonishing shape control and adjustment capabilities. The growth strain was detected at both macroscopic and microscopic levels, providing evidence for the presence of internal stress, namely growth stress. The high longitudinal tensile stress on the upper side, along with a significant asymmetry in stress distribution in tilted bamboo, plays a pivotal role in maintaining its mechanical stability. Drawing upon experimental findings, it can be deduced that the growth stress primarily originates from the broad layers of fiber cells. Bamboo could potentially regulate the magnitude of growth stress by modifying the number of fiber cell layers during its maturation process. Additionally, the microfibril angle and lignin disposition may decisively influence the generation of growth stress."
38886408,Molecular phylogeny reveals Varroa mites are not a separate family but a subfamily of Laelapidae.,"Varroa mites, notorious for parasitizing honeybees, are generally classified as Varroidae. Their extremely modified morphologies and behaviors have led to debates regarding their phylogenetic position and classification as an independent family. In this study, two different datasets were employed to reconstruct the phylogenies of Varroa mites and related Laelapidae species: (1) 9257 bp from the whole 13 mitochondrial protein-coding genes of 24 taxa, (2) 3158 bp from 113 taxa using Sanger sequencing of four nuclear loci. Both mitochondrial and nuclear analyses consistently place Varroa mites within the Laelapidae. Here we propose to place Varroa mites in the subfamily Varroinae stat. nov., which represents a highly morphologically adapted group within the Laelapidae. Ancestral state reconstructions reveal that bee-associated lifestyles evolved independently at least three times within Laelapidae, with most phoretic traits originating from free-living ancestors. Our revised classification and evolutionary analyses will provide new insight into understanding the Varroa mites."
38887146,Ultra-Fast Selenol-Yne Click (SYC) Reaction Enables Poly(selenoacetal) Covalent Adaptable Network Formation.,"The emergence of covalent adaptable networks (CANs) based on dynamic covalent bonds (DCBs) presents a promising avenue for achieving resource recovery and utilization. In this study, we discovered a novel dynamic covalent bond called selenacetal, which is obtained through a double click reaction between selenol and activated alkynes. Density functional theory (DFT) calculations demonstrated that the ΔG for the formation of selenoacetals ranges from 12 to 18 kJ mol-1, suggesting its potential for dynamic reversibility. Dynamic exchange experiments involving small molecules and polymers provide substantial evidence supporting the dynamic exchange properties of selenoacetals. By utilizing this highly efficient click reaction, we successfully synthesized dynamic materials based on selenoacetal with remarkable reprocessing capabilities without any catalysts. These materials exhibit chemical recycling under alkaline conditions, wherein selenoacetal (SA) can decompose into active enone selenide (ES) and diselenides. Reintroducing selenol initiates a renewed reaction with the enone selenide, facilitating material recycling and yielding a newly developed dynamic material exhibiting both photo- and thermal responsiveness. The results underscore the potential of selenoacetal polymers in terms of recyclability and selective degradation, making them a valuable addition to conventional covalent adaptable networks."
38886767,Sources and applications of endothelial seed cells: a review.,"Endothelial cells (ECs) are widely used as donor cells in tissue engineering, organoid vascularization, and in vitro microvascular model development. ECs are invaluable tools for disease modeling and drug screening in fundamental research. When treating ischemic diseases, EC engraftment facilitates the restoration of damaged blood vessels, enhancing therapeutic outcomes. This article presents a comprehensive overview of the current sources of ECs, which encompass stem/progenitor cells, primary ECs, cell lineage conversion, and ECs derived from other cellular sources, provides insights into their characteristics, potential applications, discusses challenges, and explores strategies to mitigate these issues. The primary aim is to serve as a reference for selecting suitable EC sources for preclinical research and promote the translation of basic research into clinical applications."
38886495,The relationship between prognosis and temporal muscle thickness in 102 patients with glioblastoma.,"Temporal muscle thickness measured on 3D MRI has recently been linked to prognosis in glioblastoma patients and may serve as an independent prognostic indicator. This single-center study looked at temporal muscle thickness and prognosis in patients with primary glioblastoma. Overall survival was the major study outcome. For a retrospective analysis from 2010 to 2020, clinical data from 102 patients with glioblastoma at the Department of Oncology Radiotherapy of the First Affiliated Hospital of Dalian Medical University were gathered. Fifty-five cases from 2016 to 2020 contained glioblastoma molecular typing data, of which 45 were IDH wild-type glioblastomas and were analysed separately. TMT was measured on enhanced T1-weighted magnetic resonance images in patients with newly diagnosed glioblastoma.Overall patient survival (OS) was calculated by the Kaplan-Meier method and survival curves were plotted using the log-rank-sum test to determine differences between groups, and multifactorial analyses were performed using a Cox proportional-risk model.The median TMT for 102 patients was 6.775 mm (range: 4.95-10.45 mm). Patients were grouped according to median TMT, and the median overall survival (23.0 months) was significantly longer in the TMT > median group than in the TMT median group (P 0.001; Log-rank test). Analysing 45 patients with IDH wild type alone, the median overall survival (12 months) of patients in the TMT > median group was significantly longer than that of patients in the TMT ≤ median group (8 months) (P < 0.001; Log-rank test).TMT can serve as an independent prognostic factor for glioblastoma."
38886030,Tetrazine cyclized peptides for one-bead-one-compound library: Synthesis and sequencing.,"While most FDA-approved peptide drugs are cyclic, robust cyclization chemistry of peptides and the deconvolution of the cyclic peptide sequences using tandem mass spectrometry render cyclic peptide drug discovery difficult. In this chapter, the protocol for the successful synthesis of tetrazine-linked cyclic peptide library in solid phase, which shows both robust cyclization and easy sequence deconvolution, is described. The protocol for the linearization and cleavage of cyclic peptides from the solid phase by simple UV light irradiation, followed by accurate sequencing using tandem mass spectrometry, is described. We describe the troubleshooting for this dithiol bis-arylation reaction and for the successful cleavage of the aryl cyclic peptide into linear form. This method for efficient solid-phase macrocyclization can be used for the rapid production of loop-based peptides and screening for inhibition of protein-protein interactions, by using the covalent inverse electron-demand Diels Alder reaction to supplement the non-covalent interaction between a protein and its peptide binder, isolating highly selective peptides in the process."
38886373,Longitudinally changed diet quality scores and their association with type 2 diabetes mellitus and cardiovascular diseases in the EPIC-Potsdam study.,"Association analyses between longitudinal changes in diet quality scores (DQIs) and cardiometabolic risk remain scarce. Hence, we aimed to investigate how changes in two DQIs are associated with incident type 2 diabetes (T2D), myocardial infarction (MI) and stroke in the EPIC-Potsdam study. Changes in the Mediterranean Pyramid Score (MedPyr) and Healthy Diet Score (HDS) over 7 years from baseline (1994-1998) to follow-up 3 (2001-2005) were investigated in 23,548 middle-aged participants. Adjusted Cox Proportional Hazards Regression models were applied to investigate associations between changes in MedPyr and HDS and chronic disease incidence. More than 60% of the participants increased both DQIs more than 5%. Within a median follow-up time of 5 years 568 cases of T2D, 171 of MI, 189 of stroke were verified. An increased compared to stable MedPyr was associated with lower T2D risk (HR 0.74; 95% CI 0.59-0.92), while a decreased MedPyr was associated with higher stroke risk (HR 1.67; 95% CI 1.02-2.72). A decreased compared to stable HDS was associated with higher stroke risk (HR 1.80; 95% CI 1.02-3.20). The findings contribute further evidence on advantages of changing dietary intake towards a Mediterranean Diet. Although baseline HDS adherence was associated with T2D and stroke risk, longitudinal changes in HDS were only significantly associated with stroke risk."
38887708,Explainable artificial intelligence and microbiome data for food geographical origin: the Mozzarella di Bufala Campana PDO Case of Study.,"Identifying the origin of a food product holds paramount importance in ensuring food safety, quality, and authenticity. Knowing where a food item comes from provides crucial information about its production methods, handling practices, and potential exposure to contaminants. Machine learning techniques play a pivotal role in this process by enabling the analysis of complex data sets to uncover patterns and associations that can reveal the geographical source of a food item. This study aims to investigate the potential use of explainable artificial intelligence for identifying the food origin. The case of study of Mozzarella di Bufala Campana PDO has been considered by examining the composition of the microbiota in each samples. Three different supervised machine learning algorithms have been compared and the best classifier model is represented by Random Forest with an Area Under the Curve (AUC) value of 0.93 and the top accuracy of 0.87. Machine learning models effectively classify origin, offering innovative ways to authenticate regional products and support local economies. Further research can explore microbiota analysis and extend applicability to diverse food products and contexts for enhanced accuracy and broader impact."
38887307,Squirrel bite-a rare cause of necrotizing soft tissue infection: Case report.,"Although squirrel bites are uncommon and generally benign, they have been implicated in the transmission of certain diseases in humans, some of which can be life-threatening. This report discusses the case of a 27-year-old hunter who developed a necrotizing soft tissue infection with vesiculo-bullous skin lesions after a ground squirrel bite."
38887755,Influence of Fe/Al oxyhydroxides and soil organic matter on the adsorption of Pb onto natural stream sediment.,"Adsorption of heavy metals on stream sediments has important implications for the fate and transport of contaminants in subsurface ecosystems. Lead (Pb) is a potentially hazardous heavy metal that is found in high amounts in anthropogenic environments, especially aquatic ecosystems. The key mechanisms for distributing this metal in the environment are adsorption and desorption in stream to sediment, and vice versa. Therefore, this work is mainly focused on the study of the influence of amorphous Fe/Al-oxyhydroxides and soil organic matter (SOM) on the adsorption of Pb onto natural stream sediment. Spiking adsorption experiments were carried out with four types of samples namely, untreated dried sediment, Fe/Al-oxyhydroxides depleted sediment, SOM depleted sediment and both Fe/Al as well as SOM depleted sediment in the pH range of 3.0 to 8.0. The results showed that Pb adsorption was reduced by up to 45% in amorphous Fe/Al-oxyhydroxide depleted sediment at pH 4.0 to 6.0, whereas a similar adsorption reduction was observed in SOM depleted sediment at pH 6.5 to 7.5. Maximum Pb adsorption was reduced by up to 75% in both amorphous Fe/Al-oxyhydroxides and SOM depleted sediment samples at pH ranges ranging from 3.0 to 7.0. Furthermore, it was shown that SOM was most significant at pH 6.5, while Fe/Al-oxyhydroxides were more important when pH was > 6.5 for the Pb adsorption in natural stream sediment."
38886896,Perceived overlap and therapy outcomes among couple clients.,"This article explores couples' perceptions and expectations of closeness in a clinical setting, and how relationship perceptions and expectations are associated with treatment outcomes. Bowen's theory of differentiation suggests that healthy relationships require a balance of autonomy and connection. However, some research suggests that contemporary societal expectations are pushing couples to expect greater degrees of closeness and less autonomy. Utilizing a clinical sample of 185 couples from an on-campus Couple and Family Therapy training clinic, this article explores couples' perceptions and expectations of relationship closeness utilizing graphics of overlapping circles. Latent profile analysis was conducted to identify three different profile groups based on perceptions and expectations. Wald tests for significant mean differences among the profiles were performed. Results identified significant differences between the three groups for satisfaction and separateness and connectedness variables, number of sessions and termination."
38887368,Modelling adult neurogenesis in the aging rodent hippocampus: a midlife crisis.,"Contrary to humans, adult hippocampal neurogenesis in rodents is not controversial. And in the last three decades, multiple studies in rodents have deemed adult neurogenesis essential for most hippocampal functions. The functional relevance of new neurons relies on their distinct physiological properties during their maturation before they become indistinguishable from mature granule cells. Most functional studies have used very young animals with robust neurogenesis. However, this trait declines dramatically with age, questioning its functional relevance in aging animals, a caveat that has been mentioned repeatedly, but rarely analyzed quantitatively. In this meta-analysis, we use data from published studies to determine the critical functional window of new neurons and to model their numbers across age in both mice and rats. Our model shows that new neurons with distinct functional profile represent about 3% of the total granule cells in young adult 3-month-old rodents, and their number decline following a power function to reach less than 1% in middle aged animals and less than 0.5% in old mice and rats. These low ratios pose an important logical and computational caveat to the proposed essential role of new neurons in the dentate gyrus, particularly in middle aged and old animals, a factor that needs to be adequately addressed when defining the relevance of adult neurogenesis in hippocampal function."
38887324,Secondary Hemorrhagic Shock Due to Spontaneous Isolated Dissection of the Superior Mesenteric Artery Branch.,"Spontaneous isolated dissection of the superior mesenteric artery (SIDSMA) is a rare condition, particularly when complicated by hemorrhagic shock. This case report describes the discovery of SIDSMA in an 88-year-old woman through CT angiography. The patient initially presented with acute abdominal pain, nausea, and diarrhea, which later progressed to hemorrhagic shock. After fluid resuscitation, the patient underwent successful endovascular treatment."
38887577,Domino reactions of chromones with activated carbonyl compounds.,"Domino reactions of chromones with activated carbonyl compounds, such as dimethyl acetone-1,3-dicarboxylate and 1,3-diphenylacetone, and with 1,3-bis(silyloxy)-1,3-butadienes, electroneutral equivalents of 1,3-dicarbonyl dianions, allow for a convenient synthesis of a great variety of products. The regioselectivity and course of the reaction depends of the substituent located at carbon C3 of the chromone moiety and also on the type of nucleophile employed."
38886290,Prediction of Tumor-Associated Macrophages and Immunotherapy Benefits Using Weakly Supervised Contrastive Learning in Breast Cancer Pathology Images.,"The efficacy of immune checkpoint inhibitors is significantly influenced by the tumor immune microenvironment (TIME). RNA sequencing of tumor tissue can offer valuable insights into TIME, but its high cost and long turnaround time seriously restrict its utility in routine clinical examinations. Several recent studies have suggested that ultrahigh-resolution pathology images can infer cellular and molecular characteristics. However, few study pay attention to the quantitative estimation of various tumor infiltration immune cells from pathology images. In this paper, we integrated contrastive learning and weakly supervised learning to infer tumor-associated macrophages and potential immunotherapy benefit from whole slide images (WSIs) of H &E stained pathological sections. We split the high-resolution WSIs into tiles and then apply contrastive learning to extract features of each tile. After aggregating the features at the tile level, we employ weak supervisory signals to fine-tune the encoder for various downstream tasks. Comprehensive experiments on two independent breast cancer cohorts and spatial transcriptomics data demonstrate that the computational pathological features accurately predict the proportion of tumor-infiltrating immune cells, particularly the infiltration level of macrophages, as well as the immune subtypes and potential immunotherapy benefit. These findings demonstrate that our model effectively captures pathological features beyond human vision, establishing a mapping relationship between cellular compositions and histological morphology, thus expanding the clinical applications of digital pathology images."
38886008,Urban Stormwater Phosphorus Export Control: Comparing Traditional and Low-impact Development Best Management Practices.,"Data from the International Stormwater Best Management Practices (BMP) Database were used to compare the phosphorus (P) control performance of six categories of stormwater BMPs representing traditional systems (stormwater pond, wetland basin, and detention basin) and low-impact development (LID) systems (bioretention cell, grass swale, and grass strip). Machine learning (ML) models were trained to predict the reduction or enrichment factors of surface runoff concentrations and loadings of total P (TP) and soluble reactive P (SRP) for the different categories of BMP systems. Relative to traditional BMPs, LIDs generally enriched TP and SRP concentrations in stormwater surface outflow and yielded poorer P runoff load control. The SRP concentration reduction and enrichment factors of LIDs also tended to be more sensitive to variations in climate and watershed characteristics. That is, LIDs were more likely to enrich surface runoff SRP concentrations in drier climates, when inflow SRP concentrations were low, and for watersheds exhibiting high impervious land cover. Overall, our results imply that stormwater BMPs do not universally attenuate urban P export and that preferentially implementing LIDs over traditional BMPs may increase TP and SRP export to receiving freshwater bodies, hence magnifying eutrophication risks."
38886260,Dimensions of Level-1 Group-Based Phylogenetic Networks.,"Phylogenetic networks represent evolutionary histories of sets of taxa where horizontal evolution or hybridization has occurred. Placing a Markov model of evolution on a phylogenetic network gives a model that is particularly amenable to algebraic study by representing it as an algebraic variety. In this paper, we give a formula for the dimension of the variety corresponding to a triangle-free level-1 phylogenetic network under a group-based evolutionary model. On our way to this, we give a dimension formula for codimension zero toric fiber products. We conclude by illustrating applications to identifiability."
38887209,Recognition of the HLA-DRB3*03:65 allele in a Chinese individual.,"We report a novel HLA-DRB3*03 allele, now named DRB3*03:65, identified by next-generation sequencing."
38887895,Digest: Are female miniature geckos larger than males?,"What shapes the differences in body size between males and females in miniature species? One potential key factor is reproduction, which could constrain body size evolution because females of miniature species need to remain large enough to lay viable eggs. Glynne & Adams (2024) tested this hypothesis in two gecko families, the Sphaerodactylidae and Phyllodactylidae. Their findings support this hypothesis, indicating that female-biased size differences in miniature species are shaped by selection for reproductive success."
38887425,"Medical Nutrition Education for Health, Not Harm: BMI, Weight Stigma, Eating Disorders, and Social Determinants of Health.","Effective nutrition training is fundamental to medical education. Current training is inadequate and can cause harm to students and patients alike; it leaves physicians unprepared to counsel on nutrition, places undue focus on weight and body mass index (BMI), can exacerbate anti-obesity bias, and increase risk for development of eating disorders, while neglecting social determinants of health and communication skills. Physicians and educators hold positions of influence in society; what we say and how we say it matters. We propose actionable approaches to improve nutrition education to minimize harm and pursue evidence-based, effective, and equitable healthcare."
38887334,Cryobiopsy for Secondary Pulmonary Alveolar Proteinosis.,"Secondary pulmonary alveolar proteinosis (SPAP) is one of the diffuse parenchymal lung diseases, and the utility and safety of transbronchial lung cryobiopsy (TBLC) for diagnosing SPAP are unknown. A case of SPAP diagnosed by TBLC is presented. Specimens that were useful for diagnosis were collected, and there was no adverse event following TBLC. The usefulness of TBLC for interstitial lung disease has been widely reported, but there are few reports of SPAP. We present the clinical course of TBLC in the diagnosis of SPAP."
